ID;Название;Вердикт;Status;Длина_Ряда;Среднее_Значение;Станд_Отклонение;Коэф_Вариации;Асимметрия_Сдвига;Эксцесс_Хвостов;Процентиль_75;Процентиль_95;Коэф_Аномалий_Шага;Энтропия_Шеннона;Энтропия_Перестановок;Приближенная_Энтропия_ApEn;Автокорреляция_Лаг1;Автокорреляция_Лаг2;Автокорреляция_Лаг3;Автокорреляция_Лаг4;Автокорреляция_Лаг5;Энергия_Спектра_Фурье;Главная_Частота_Фурье;Пик_Амплитуды_Фурье;Медианная_Частота_Фурье;Дисперсия_Спектра_Фурье;Спектральная_Энтропия_Фурье;Радиус_Векторного_Облака;Физическая_Длина_Змеи;Доля_Оси_PCA_X;Доля_Оси_PCA_Y;Доля_Оси_PCA_Z;Сила_Ротора_Закрутки;Индекс_Сквозных_Дыр;Коэф_Ветвления_Пирсона;Фрактал_Размерность_GP;Показатель_Херста_Памяти;Девиация_Закона_Бенфорда;Доля_Первых_Единиц_Бенфорда;Бенфорд_Хи_Квадрат;Бенфорд_KL_Дивергенция;Бенфорд_Стат_Вердикт
"=""A001739""";Squares written in base 4.;[Класс 3] Абсолютный кристаллический тренд, память Lag1=0.9646;Успешно;"=""40.0""";"=""29565.5""";"=""39818.56""";"=""1.3468""";"=""1.3018""";"=""-0.0069""";"=""31268.25""";"=""111175.45""";"=""23.06""";"=""5.3219""";"=""-0.0""";"=""1.5286""";"=""0.9646""";"=""0.9299""";"=""0.8971""";"=""0.8689""";"=""0.8253""";"=""1268533156400.0""";"=""1.0""";"=""820141.54""";"=""8.0""";"=""194030.28""";"=""3.5957""";"=""51749.85""";"=""303893.52""";"=""0.7995""";"=""0.1234""";"=""0.0771""";"=""636917871.78""";"=""0.0""";"=""-0.0344""";"=""0.0""";"=""0.746""";"=""0.1175""";"=""0.5897""";"=""27.9098""";"=""0.756""";Нетипичный ряд
"=""A001740""";Squares written in base 5.;[Класс 3] Абсолютный кристаллический тренд, память Lag1=0.9894;Успешно;"=""43.0""";"=""7427.56""";"=""7945.74""";"=""1.0698""";"=""0.7798""";"=""-0.8004""";"=""12682.5""";"=""22364.1""";"=""10.04""";"=""5.4263""";"=""-0.0""";"=""1.4954""";"=""0.9894""";"=""0.9809""";"=""0.9713""";"=""0.9625""";"=""0.9562""";"=""58368181351.0""";"=""1.0""";"=""195924.1""";"=""5.0""";"=""41047.53""";"=""3.7167""";"=""11789.93""";"=""55123.06""";"=""0.8818""";"=""0.0704""";"=""0.0477""";"=""17524679.53""";"=""0.0""";"=""-0.0604""";"=""0.0""";"=""0.7849""";"=""0.062""";"=""0.4762""";"=""20.0142""";"=""0.5416""";Нетипичный ряд
"=""A001741""";Squares written in base 6.;[Класс 3] Абсолютный кристаллический тренд, память Lag1=0.9868;Успешно;"=""45.0""";"=""3648.13""";"=""4115.67""";"=""1.1282""";"=""1.0819""";"=""-0.292""";"=""5013.0""";"=""11968.2""";"=""16.13""";"=""5.4919""";"=""-0.0""";"=""1.5326""";"=""0.9868""";"=""0.9745""";"=""0.9641""";"=""0.9486""";"=""0.9357""";"=""17150435577.0""";"=""1.0""";"=""98706.78""";"=""6.0""";"=""21633.98""";"=""3.7734""";"=""5504.23""";"=""28722.25""";"=""0.8688""";"=""0.0802""";"=""0.051""";"=""5027857.27""";"=""0.0""";"=""-0.0057""";"=""0.0""";"=""0.7622""";"=""0.0403""";"=""0.4545""";"=""15.0911""";"=""0.395""";Значим (Хи-Квадрат OK)
"=""A001742""";Numbers whose digits contain no loops (version 2).;[Класс 3] Абсолютный кристаллический тренд, память Lag1=0.9948;Успешно;"=""59.0""";"=""90.66""";"=""64.58""";"=""0.7123""";"=""0.2333""";"=""-1.1857""";"=""136.0""";"=""211.1""";"=""9.21""";"=""5.8826""";"=""-0.0""";"=""1.5509""";"=""0.9948""";"=""0.9906""";"=""0.9878""";"=""0.9869""";"=""0.9876""";"=""7258216.0""";"=""1.0""";"=""2152.09""";"=""6.0""";"=""398.91""";"=""4.1463""";"=""97.58""";"=""505.58""";"=""0.9145""";"=""0.0513""";"=""0.0341""";"=""1211.33""";"=""0.0027""";"=""-0.1122""";"=""0.0""";"=""0.8038""";"=""0.0719""";"=""0.5254""";"=""27.8446""";"=""0.5018""";Нетипичный ряд
"=""A001743""";Numbers in which every digit contains at least one loop (version 1).;[Класс 3] Абсолютный кристаллический тренд, память Lag1=0.9804;Успешно;"=""56.0""";"=""587.89""";"=""346.99""";"=""0.5902""";"=""-0.6998""";"=""-1.1894""";"=""886.5""";"=""961.5""";"=""28.44""";"=""5.8074""";"=""-0.0""";"=""1.3086""";"=""0.9804""";"=""0.9614""";"=""0.9434""";"=""0.9264""";"=""0.9051""";"=""188792712.0""";"=""1.0""";"=""10989.17""";"=""4.0""";"=""2142.16""";"=""3.9458""";"=""511.1""";"=""2680.85""";"=""0.8448""";"=""0.0966""";"=""0.0586""";"=""33269.19""";"=""0.0006""";"=""-0.0437""";"=""0.0""";"=""0.7915""";"=""0.4011""";"=""0.0""";"=""288.6724""";"=""2.6263""";Нетипичный ряд
"=""A001744""";Numbers n such that every digit contains a loop (version 2).;[Класс 3] Абсолютный кристаллический тренд, память Lag1=0.9829;Успешно;"=""58.0""";"=""309.09""";"=""225.5""";"=""0.7296""";"=""-0.1064""";"=""-1.6703""";"=""487.5""";"=""613.65""";"=""26.56""";"=""5.858""";"=""-0.0""";"=""1.0485""";"=""0.9829""";"=""0.9662""";"=""0.9501""";"=""0.9347""";"=""0.9199""";"=""85628687.0""";"=""1.0""";"=""7744.84""";"=""4.0""";"=""1415.91""";"=""4.0447""";"=""366.94""";"=""1736.13""";"=""0.8535""";"=""0.0913""";"=""0.0552""";"=""13757.54""";"=""0.0009""";"=""-0.0465""";"=""0.0""";"=""0.8178""";"=""0.385""";"=""0.0""";"=""194.4851""";"=""2.0501""";Нетипичный ряд
"=""A001745""";"Numbers such that at least one digit contains a loop (version 2). Also called ""holey"" or ""holy"" numbers.";[Класс 3] Абсолютный кристаллический тренд, память Lag1=0.9995;Успешно;"=""66.0""";"=""53.82""";"=""27.01""";"=""0.5019""";"=""-0.2416""";"=""-1.0574""";"=""78.75""";"=""91.75""";"=""2.74""";"=""6.0444""";"=""-0.0""";"=""1.7911""";"=""0.9995""";"=""0.9989""";"=""0.9983""";"=""0.9978""";"=""0.9974""";"=""1590096.0""";"=""1.0""";"=""962.41""";"=""6.0""";"=""175.73""";"=""4.3294""";"=""38.89""";"=""166.84""";"=""0.9721""";"=""0.0185""";"=""0.0095""";"=""45.8""";"=""0.0064""";"=""0.2331""";"=""0.0""";"=""0.7982""";"=""0.0962""";"=""0.0769""";"=""52.9118""";"=""0.5186""";Нетипичный ряд
"=""A001746""";At least one digit contains a loop (version 1).;[Класс 3] Абсолютный кристаллический тренд, память Lag1=0.9988;Успешно;"=""64.0""";"=""63.92""";"=""29.87""";"=""0.4673""";"=""-0.5055""";"=""-0.9158""";"=""89.25""";"=""101.85""";"=""3.6""";"=""6.0""";"=""-0.0""";"=""2.0459""";"=""0.9988""";"=""0.9979""";"=""0.9977""";"=""0.998""";"=""0.9966""";"=""1829208.0""";"=""1.0""";"=""1034.03""";"=""6.0""";"=""190.39""";"=""4.3006""";"=""42.14""";"=""198.0""";"=""0.9582""";"=""0.0256""";"=""0.0163""";"=""88.18""";"=""0.0058""";"=""0.069""";"=""0.0""";"=""0.7923""";"=""0.0815""";"=""0.1587""";"=""64.1658""";"=""0.5354""";Нетипичный ряд
"=""A001747""";2 together with primes multiplied by 2.;[Класс 3] Абсолютный кристаллический тренд, память Lag1=0.9993;Успешно;"=""55.0""";"=""221.16""";"=""153.32""";"=""0.6932""";"=""0.2088""";"=""-1.2252""";"=""352.0""";"=""469.6""";"=""3.02""";"=""5.7814""";"=""-0.0""";"=""1.7772""";"=""0.9993""";"=""0.9988""";"=""0.9984""";"=""0.9983""";"=""0.9982""";"=""35554132.0""";"=""1.0""";"=""4735.85""";"=""5.0""";"=""913.87""";"=""4.0465""";"=""223.92""";"=""923.38""";"=""0.9678""";"=""0.0191""";"=""0.013""";"=""3251.84""";"=""0.0012""";"=""-0.0638""";"=""0.0""";"=""0.7926""";"=""0.0327""";"=""0.2182""";"=""15.0753""";"=""0.1948""";Значим (Хи-Квадрат OK)
"=""A001748""";a(n) = 3 * prime(n).;[Класс 3] Абсолютный кристаллический тренд, память Lag1=0.9993;Успешно;"=""54.0""";"=""337.83""";"=""227.67""";"=""0.6739""";"=""0.1947""";"=""-1.2233""";"=""532.5""";"=""705.3""";"=""2.98""";"=""5.7549""";"=""-0.0""";"=""1.8045""";"=""0.9993""";"=""0.9988""";"=""0.9984""";"=""0.9983""";"=""0.9982""";"=""75627747.0""";"=""1.0""";"=""6888.43""";"=""6.0""";"=""1328.8""";"=""4.0554""";"=""332.34""";"=""1377.73""";"=""0.9675""";"=""0.0192""";"=""0.0133""";"=""7459.8""";"=""0.0008""";"=""-0.0965""";"=""0.0""";"=""0.7918""";"=""0.0424""";"=""0.1481""";"=""17.3492""";"=""0.2114""";Нетипичный ряд
"=""A001749""";Primes multiplied by 4.;[Класс 3] Абсолютный кристаллический тренд, память Lag1=0.9995;Успешно;"=""65.0""";"=""566.52""";"=""378.99""";"=""0.669""";"=""0.1746""";"=""-1.231""";"=""908.0""";"=""1164.0""";"=""2.88""";"=""6.0224""";"=""-0.0""";"=""1.5943""";"=""0.9995""";"=""0.9991""";"=""0.9989""";"=""0.9988""";"=""0.9988""";"=""303425792.0""";"=""1.0""";"=""13816.92""";"=""6.0""";"=""2506.35""";"=""4.2343""";"=""556.91""";"=""2350.48""";"=""0.9723""";"=""0.0169""";"=""0.0108""";"=""17507.12""";"=""0.0005""";"=""-0.0179""";"=""0.0""";"=""0.8014""";"=""0.0124""";"=""0.2923""";"=""9.8038""";"=""0.1006""";Значим (Хи-Квадрат OK)
"=""A001750""";Primes multiplied by 5.;[Класс 3] Абсолютный кристаллический тренд, память Lag1=0.9993;Успешно;"=""52.0""";"=""537.4""";"=""362.94""";"=""0.6754""";"=""0.2038""";"=""-1.2104""";"=""842.5""";"=""1139.5""";"=""3.01""";"=""5.7004""";"=""-0.0""";"=""1.8107""";"=""0.9993""";"=""0.9987""";"=""0.9983""";"=""0.9984""";"=""0.9985""";"=""178222850.0""";"=""1.0""";"=""10554.83""";"=""4.0""";"=""2065.96""";"=""4.0115""";"=""527.1""";"=""2199.63""";"=""0.9662""";"=""0.0202""";"=""0.0136""";"=""19786.92""";"=""0.0005""";"=""-0.059""";"=""0.0""";"=""0.7888""";"=""0.0193""";"=""0.2308""";"=""11.8957""";"=""0.1387""";Значим (Хи-Квадрат OK)
"=""A001751""";Primes together with primes multiplied by 2.;[Класс 3] Абсолютный кристаллический тренд, память Lag1=0.9997;Успешно;"=""61.0""";"=""73.69""";"=""50.07""";"=""0.6795""";"=""0.2221""";"=""-1.209""";"=""113.0""";"=""157.0""";"=""2.2""";"=""5.9307""";"=""-0.0""";"=""1.6072""";"=""0.9997""";"=""0.9994""";"=""0.9991""";"=""0.9989""";"=""0.9987""";"=""4664642.0""";"=""1.0""";"=""1710.68""";"=""5.0""";"=""318.5""";"=""4.1629""";"=""73.09""";"=""296.38""";"=""0.9766""";"=""0.0141""";"=""0.0093""";"=""235.52""";"=""0.0036""";"=""0.0516""";"=""0.0""";"=""0.797""";"=""0.0321""";"=""0.4426""";"=""9.395""";"=""0.1149""";Значим (Хи-Квадрат OK)
"=""A001752""";Expansion of 1/((1+x)*(1-x)^5).;[Класс 3] Абсолютный кристаллический тренд, память Lag1=0.9999;Успешно;"=""43.0""";"=""18827.91""";"=""24018.17""";"=""1.2757""";"=""1.307""";"=""0.5579""";"=""29452.5""";"=""70431.9""";"=""3.61""";"=""5.4263""";"=""-0.0""";"=""1.5487""";"=""0.9999""";"=""0.9997""";"=""0.9994""";"=""0.9989""";"=""0.9983""";"=""533318680422.0""";"=""1.0""";"=""548003.24""";"=""6.0""";"=""115947.41""";"=""3.863""";"=""31258.32""";"=""135652.31""";"=""0.9907""";"=""0.0093""";"=""0.0001""";"=""4836879.18""";"=""0.0""";"=""0.9999""";"=""0.0""";"=""0.7596""";"=""0.0091""";"=""0.2558""";"=""3.8348""";"=""0.0612""";Значим (Хи-Квадрат OK)
"=""A001753""";Expansion of 1/((1+x)*(1-x)^6).;[Класс 3] Абсолютный кристаллический тренд, память Lag1=0.9999;Успешно;"=""33.0""";"=""45366.82""";"=""64235.97""";"=""1.4159""";"=""1.5306""";"=""1.2551""";"=""64883.0""";"=""185721.6""";"=""4.27""";"=""5.0444""";"=""-0.0""";"=""1.6354""";"=""0.9999""";"=""0.9996""";"=""0.999""";"=""0.9982""";"=""0.9971""";"=""2246748194772.0""";"=""1.0""";"=""1089418.67""";"=""8.0""";"=""248339.43""";"=""3.5926""";"=""78204.78""";"=""355077.77""";"=""0.9883""";"=""0.0116""";"=""0.0001""";"=""54099469.3""";"=""0.0""";"=""0.9999""";"=""0.0""";"=""0.7328""";"=""0.0094""";"=""0.3636""";"=""2.1275""";"=""0.052""";Значим (Хи-Квадрат OK)
"=""A001754""";Lah numbers: a(n) = n!*binomial(n-1,2)/6.;[Класс 2] Асимметричный Экспоненциальный Рост, асимметрия=4.236;Успешно;"=""21.0""";"=""8.049867210183634e+19""";"=""3.44084137160211e+20""";"=""4.2744""";"=""4.236""";"=""15.9806""";"=""366148823040000.0""";"=""6.933770723303424e+19""";"=""19.14""";"=""4.2971""";"=""-0.0""";"=""0.3451""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""0.9999""";"=""2.610585350468575e+43""";"=""1.0""";"=""1.686940589992027e+21""";"=""6.0""";"=""4.75358173908344e+19""";"=""3.3213""";"=""1.61085658129314e+20""";"=""1.6193680687457976e+21""";"=""0.9999""";"=""0.0001""";"=""0.0""";"=""1.1790408225563626e+37""";"=""0.0""";"=""1.0""";"=""0.0""";"=""0.4917""";"=""0.0971""";"=""0.5789""";"=""-1.0""";"=""0.4571""";Нетипичный ряд
"=""A001755""";Lah numbers: a(n) = n! * binomial(n-1, 3)/4!.;[Класс 2] Асимметричный Экспоненциальный Рост, асимметрия=3.997;Успешно;"=""19.0""";"=""3.4114604151077926e+21""";"=""1.3887930073327574e+22""";"=""4.071""";"=""3.997""";"=""14.0043""";"=""9.48499808256e+16""";"=""8.412975144274694e+21""";"=""17.3""";"=""4.2479""";"=""-0.0""";"=""0.2062""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""3.481386561075538e+46""";"=""1.0""";"=""6.466913572374407e+22""";"=""5.0""";"=""1.6573488359460063e+21""";"=""3.1694""";"=""6.884705369425285e+21""";"=""6.233571189656317e+22""";"=""0.9999""";"=""0.0001""";"=""0.0""";"=""1.438948297926033e+40""";"=""0.0""";"=""1.0""";"=""0.0""";"=""0.4906""";"=""0.0136""";"=""0.3158""";"=""-1.0""";"=""0.1547""";Мало данных (Оценка по KL)
"=""A001756""";a(n) = A059366(n,n-3) = A059366(n,3) for n >= 3, where the triangle A059366 arises from the expansion of a trigonometric integral.;[Класс 2] Асимметричный Экспоненциальный Рост, асимметрия=3.8763;Успешно;"=""18.0""";"=""6.175319311151749e+21""";"=""2.477426884395524e+22""";"=""4.0118""";"=""3.8763""";"=""13.0378""";"=""5.034645206481515e+16""";"=""1.861413406966739e+22""";"=""16.56""";"=""4.1699""";"=""-0.0""";"=""0.2146""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0500264993989336e+47""";"=""1.0""";"=""1.1097321011189744e+23""";"=""5.0""";"=""1.939487364964521e+21""";"=""3.1697""";"=""1.2671860060869896e+22""";"=""1.0832442941744041e+23""";"=""1.0""";"=""0.0""";"=""0.0""";"=""2.840289179826073e+40""";"=""0.0""";"=""1.0""";"=""0.0""";"=""0.49""";"=""0.0519""";"=""0.2222""";"=""-1.0""";"=""0.4966""";Нетипичный ряд
"=""A001757""";Expansion of an integral: central elements of rows of triangle in A059366.;[Класс 2] Асимметричный Экспоненциальный Рост, асимметрия=4.36;Успешно;"=""22.0""";"=""1.4802356294825039e+23""";"=""6.607837545097122e+23""";"=""4.464""";"=""4.36""";"=""17.0229""";"=""4.0101157014512344e+16""";"=""7.5343624882876595e+22""";"=""20.48""";"=""4.3685""";"=""-0.0""";"=""0.1849""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.1046452571747674e+50""";"=""1.0""";"=""3.253043203852173e+24""";"=""6.0""";"=""5.535571711995897e+22""";"=""3.4592""";"=""3.0132868874821005e+23""";"=""3.176163675918993e+24""";"=""1.0""";"=""0.0""";"=""0.0""";"=""1.820270127014629e+43""";"=""0.0""";"=""1.0""";"=""0.0""";"=""0.4924""";"=""0.0301""";"=""0.2273""";"=""-1.0""";"=""0.2588""";Нетипичный ряд
"=""A001758""";Number of quasi-alternating permutations of length n.;[Класс 2] Асимметричный Экспоненциальный Рост, асимметрия=4.3352;Успешно;"=""22.0""";"=""1.311309800751408e+18""";"=""5.610453966003549e+18""";"=""4.2785""";"=""4.3352""";"=""16.8794""";"=""37411263137669.5""";"=""1.6717242494977833e+18""";"=""19.63""";"=""4.4594""";"=""-0.0""";"=""0.3676""";"=""1.0""";"=""1.0""";"=""1.0""";"=""0.9999""";"=""0.9999""";"=""7.938157935251749e+39""";"=""1.0""";"=""2.8761151878868333e+19""";"=""6.0""";"=""1.2213918847807521e+18""";"=""3.4579""";"=""2.5891050656780933e+18""";"=""2.702458802236905e+19""";"=""0.9998""";"=""0.0002""";"=""0.0""";"=""7.029446980834224e+33""";"=""0.0""";"=""1.0""";"=""0.0""";"=""0.4973""";"=""0.085""";"=""0.2381""";"=""-1.0""";"=""0.4678""";Нетипичный ряд
"=""A001759""";Number of permutations of [n] with n-3 sequences.;[Класс 2] Асимметричный Экспоненциальный Рост, асимметрия=3.8527;Успешно;"=""18.0""";"=""3.9227537940492024e+16""";"=""1.5060418745402768e+17""";"=""3.8392""";"=""3.8527""";"=""12.9173""";"=""13051264639002.5""";"=""1.3620988021616326e+17""";"=""15.86""";"=""4.1699""";"=""-0.0""";"=""0.4258""";"=""1.0""";"=""1.0""";"=""1.0""";"=""0.9999""";"=""0.9999""";"=""3.8651825067778896e+36""";"=""1.0""";"=""7.028103075098927e+17""";"=""5.0""";"=""3.0437683025480124e+16""";"=""3.1684""";"=""7.70087416669592e+16""";"=""6.602785849111191e+17""";"=""0.9998""";"=""0.0002""";"=""0.0""";"=""5.611723840428815e+30""";"=""0.0""";"=""1.0""";"=""0.0""";"=""0.492""";"=""0.0599""";"=""0.3889""";"=""-1.0""";"=""0.6004""";Нетипичный ряд
"=""A001760""";Number of permutations of [n] with n-4 sequences.;[Класс 2] Асимметричный Экспоненциальный Рост, асимметрия=3.7261;Успешно;"=""17.0""";"=""1.401142194619337e+17""";"=""5.2410762130044486e+17""";"=""3.7406""";"=""3.7261""";"=""11.946""";"=""43098592576694.0""";"=""5.5828839238793606e+17""";"=""15.0""";"=""4.0875""";"=""-0.0""";"=""0.4438""";"=""1.0""";"=""1.0""";"=""1.0""";"=""0.9999""";"=""0.9999""";"=""3.9692531412902913e+37""";"=""1.0""";"=""2.3704410511516273e+18""";"=""4.0""";"=""9.482503970615406e+16""";"=""2.9987""";"=""2.7703085337104774e+17""";"=""2.2368404489621765e+18""";"=""0.9998""";"=""0.0002""";"=""0.0""";"=""5.404563811770152e+31""";"=""0.0""";"=""1.0""";"=""0.0""";"=""0.4886""";"=""0.0355""";"=""0.4118""";"=""-1.0""";"=""0.3482""";Нетипичный ряд
"=""A001761""";a(n) = (2*n)!/(n+1)!.;[Класс 2] Асимметричный Экспоненциальный Рост, асимметрия=3.8789;Успешно;"=""18.0""";"=""2.603651033500209e+21""";"=""1.055392568057166e+22""";"=""4.0535""";"=""3.8789""";"=""13.0507""";"=""3494449834444800.0""";"=""7.545767223460193e+21""";"=""16.73""";"=""4.0588""";"=""-0.0""";"=""0.2146""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.9074356681606958e+46""";"=""1.0""";"=""4.681874740386452e+22""";"=""5.0""";"=""5.151548514497165e+20""";"=""3.1698""";"=""5.398684018511306e+21""";"=""4.611895781588149e+22""";"=""1.0""";"=""0.0""";"=""0.0""";"=""2.491199840534053e+39""";"=""0.0""";"=""1.0""";"=""0.0""";"=""0.4901""";"=""0.0194""";"=""0.2222""";"=""-1.0""";"=""0.1792""";Мало данных (Оценка по KL)
"=""A001762""";Number of labeled n-vertex dissections of a ball.;[Класс 2] Асимметричный Экспоненциальный Рост, асимметрия=3.7495;Успешно;"=""17.0""";"=""2.418765041264609e+24""";"=""9.581805082662285e+24""";"=""3.9614""";"=""3.7495""";"=""12.06""";"=""4.19688934689024e+17""";"=""8.445650824674347e+24""";"=""15.85""";"=""3.9698""";"=""-0.0""";"=""0.2237""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.326668785878819e+52""";"=""1.0""";"=""4.10932208090955e+25""";"=""4.0""";"=""2.5266469858013838e+23""";"=""3.0""";"=""5.067294837450701e+24""";"=""4.074609215730881e+25""";"=""1.0""";"=""0.0""";"=""0.0""";"=""6.53233987698114e+44""";"=""0.0""";"=""1.0""";"=""0.0""";"=""0.4893""";"=""0.0346""";"=""0.3529""";"=""-1.0""";"=""0.3203""";Нетипичный ряд
"=""A001763""";a(n) = (3n+3)!/(2n+3)!.;[Класс 2] Асимметричный Экспоненциальный Рост, асимметрия=3.88;Успешно;"=""18.0""";"=""8.419738655143247e+24""";"=""3.4366721752643437e+25""";"=""4.0817""";"=""3.88""";"=""13.0559""";"=""1.4109542280497664e+18""";"=""2.3731827843041985e+25""";"=""16.84""";"=""4.0588""";"=""-0.0""";"=""0.2146""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""2.023888021779362e+53""";"=""1.0""";"=""1.5146641431802864e+26""";"=""5.0""";"=""9.966328131709331e+23""";"=""3.1699""";"=""1.7580641426170212e+25""";"=""1.5011776786295247e+26""";"=""1.0""";"=""0.0""";"=""0.0""";"=""9.33066925739526e+45""";"=""0.0""";"=""1.0""";"=""0.0""";"=""0.4901""";"=""0.0933""";"=""0.5556""";"=""-1.0""";"=""0.4278""";Нетипичный ряд
"=""A001764""";a(n) = binomial(3*n,n)/(2*n+1) (enumerates ternary trees and also noncrossing trees).;[Класс 2] Асимметричный Экспоненциальный Рост, асимметрия=4.5237;Успешно;"=""25.0""";"=""7706286614772044.0""";"=""3.1945175325461656e+16""";"=""4.1453""";"=""4.5237""";"=""18.9171""";"=""2619631042665.0""";"=""2.1285225961713108e+16""";"=""20.21""";"=""4.5639""";"=""-0.0""";"=""0.3342""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""3.1890444580452628e+35""";"=""1.0""";"=""1.9132165621264755e+17""";"=""6.0""";"=""1.7754922764328114e+16""";"=""3.5764""";"=""1.5066233182024606e+16""";"=""1.6430643610148963e+17""";"=""0.9999""";"=""0.0001""";"=""0.0""";"=""8.859403286870834e+28""";"=""0.0""";"=""1.0""";"=""0.0""";"=""0.5238""";"=""0.0153""";"=""0.4""";"=""-1.0""";"=""0.1136""";Мало данных (Оценка по KL)
"=""A001765""";Coefficients of iterated exponentials.;[Класс 2] Асимметричный Экспоненциальный Рост, асимметрия=3.8793;Успешно;"=""18.0""";"=""3.9682975804358116e+24""";"=""1.6125096404046884e+25""";"=""4.0635""";"=""3.8793""";"=""13.0528""";"=""2.7405790890795766e+18""";"=""1.1389510864438521e+25""";"=""16.77""";"=""4.1699""";"=""-0.0""";"=""0.2146""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""4.4537736132614207e+52""";"=""1.0""";"=""7.136840797214601e+25""";"=""5.0""";"=""6.740071417416625e+23""";"=""3.1699""";"=""8.248676756864643e+24""";"=""7.045417095332835e+25""";"=""1.0""";"=""0.0""";"=""0.0""";"=""3.8181746223554225e+45""";"=""0.0""";"=""1.0""";"=""0.0""";"=""0.4901""";"=""0.0233""";"=""0.3333""";"=""-1.0""";"=""0.235""";Мало данных (Оценка по KL)
"=""A001766""";Index of (the image of) the modular group Gamma(n) in PSL_2(Z).;[Класс 5] Космический закрученный Аттрактор, ротор закрутки=147796535.1144;Успешно;"=""44.0""";"=""9252.43""";"=""10600.98""";"=""1.1458""";"=""1.176""";"=""0.4125""";"=""15048.0""";"=""30859.2""";"=""5.72""";"=""5.4594""";"=""1.5671""";"=""1.6282""";"=""0.9099""";"=""0.9923""";"=""0.9227""";"=""0.9921""";"=""0.9166""";"=""109681142338.0""";"=""1.0""";"=""250220.6""";"=""9.0""";"=""50258.16""";"=""3.9911""";"=""14540.63""";"=""197985.18""";"=""0.7959""";"=""0.1639""";"=""0.0402""";"=""147796535.11""";"=""0.0""";"=""-0.8963""";"=""0.0""";"=""0.7645""";"=""0.0141""";"=""0.3409""";"=""7.6334""";"=""0.1693""";Значим (Хи-Квадрат OK)
"=""A001767""";Genus of modular group Gamma(n) = genus of modular curve Chi(n).;[Класс 5] Космический закрученный Аттрактор, ротор закрутки=2182870.3483;Успешно;"=""52.0""";"=""1172.69""";"=""1389.44""";"=""1.1848""";"=""1.2592""";"=""0.701""";"=""1788.25""";"=""4022.5""";"=""5.07""";"=""5.4697""";"=""1.6681""";"=""1.219""";"=""0.9292""";"=""0.9915""";"=""0.9274""";"=""0.9911""";"=""0.9195""";"=""2670122260.0""";"=""1.0""";"=""38215.73""";"=""9.0""";"=""7305.69""";"=""4.2092""";"=""1874.73""";"=""28278.28""";"=""0.8124""";"=""0.1437""";"=""0.0439""";"=""2182870.35""";"=""0.0001""";"=""-0.8772""";"=""0.0""";"=""0.7717""";"=""0.0163""";"=""0.3542""";"=""9.3561""";"=""0.2233""";Значим (Хи-Квадрат OK)
"=""A001768""";Sorting numbers: number of comparisons for merge insertion sort of n elements.;[Класс 3] Абсолютный кристаллический тренд, память Lag1=1.0;Успешно;"=""56.0""";"=""110.12""";"=""77.39""";"=""0.7028""";"=""0.2432""";"=""-1.1848""";"=""172.5""";"=""238.5""";"=""1.29""";"=""5.8074""";"=""-0.0""";"=""1.6906""";"=""1.0""";"=""0.9999""";"=""0.9998""";"=""0.9997""";"=""0.9996""";"=""9400476.0""";"=""1.0""";"=""2421.29""";"=""5.0""";"=""461.53""";"=""4.1""";"=""112.59""";"=""429.5""";"=""0.9938""";"=""0.0054""";"=""0.0009""";"=""60.05""";"=""0.0023""";"=""0.972""";"=""0.0""";"=""0.793""";"=""0.0278""";"=""0.4364""";"=""8.33""";"=""0.1173""";Значим (Хи-Квадрат OK)
"=""A001769""";Expansion of 1/((1+x)*(1-x)^7).;[Класс 3] Абсолютный кристаллический тренд, память Lag1=0.9999;Успешно;"=""39.0""";"=""630313.82""";"=""989319.45""";"=""1.5696""";"=""1.7649""";"=""2.1141""";"=""811580.0""";"=""2867453.4""";"=""5.13""";"=""5.2854""";"=""-0.0""";"=""1.5601""";"=""0.9999""";"=""0.9997""";"=""0.9993""";"=""0.9987""";"=""0.9979""";"=""744341636924647.0""";"=""1.0""";"=""19057948.4""";"=""10.0""";"=""4209831.88""";"=""3.8233""";"=""1162329.66""";"=""5747083.42""";"=""0.99""";"=""0.0099""";"=""0.0001""";"=""9754818652.48""";"=""0.0""";"=""0.9999""";"=""0.0""";"=""0.7358""";"=""0.0092""";"=""0.3333""";"=""5.0842""";"=""0.1358""";Значим (Хи-Квадрат OK)
